"","both_pcd","both_coe_rr","both_coe_rrprev","both_coe_sum","both_pNW_rr","both_pDC_rr","both_pNW_rrprev","both_pDC_rrprev","only_pcd_rr","only_coe_rr","only_pNW_rr","only_pDC_rr","only_pcd_rrprev","only_coe_rrprev","only_pNW_rrprev","only_pDC_rrprev"
"ex_log - log_med",0.0348333588354538,0.9320587275151,-1.56258764648522,-0.630528918970124,0.0505036669574,4.47267196731943e-07,0.00665873528736183,2.5433061340208e-07,0.402324573298802,-0.100334271124356,0.588857963531935,0.570190907091703,0.0584107989873842,-0.992208868444234,0.0193953072792035,0.0250310764432857
"log_cite_top_1_in_10 - log_med",0.85719019896893,0.503492217901292,-0.278990436745928,0.224501781155364,0.541710932373773,0.221406025739067,0.776981882135616,0.605677423992236,0.868758896602107,0.319164782424805,0.591473496263306,0.479067215985308,0.51404988904972,0.0142042864615515,0.982483977505425,0.974952820919108
"log_cite_top_1_in_100 - log_med",0.00119958155599427,0.0494285316074963,-0.937885948483403,-0.888457416875906,0.9581401823511,0.945352423839079,0.403641907257333,0.202931978962559,0.00120929684362343,-0.570227517072104,0.397962540283312,0.557970601927436,0.00441518263011731,-0.825023442273325,0.291892755228162,0.359034781048018
"- cite_30pc_dominator",0.186296703945876,-0.136322618175573,0.0906335478604834,-0.0456890703150897,0.00234424908934602,0.00205041806133044,0.0101816270946746,0.000254062929939313,0.223996255524202,-0.0765675024445881,0.0176145172284776,0.12006014177011,0.00842288720486244,0.0100627597564667,0.792382096301696,0.817411362081486
"- cite_50pc_dominator",0.0678213679361242,-0.117428818768527,0.104562850442186,-0.0128659683263405,0.00616152918231555,0.000170158176126144,0.0601619465664803,0.00156832861620321,0.0695882844934963,-0.0484900496611692,0.155190378486622,0.252586165902613,0.468153658713707,0.0215682304459895,0.706498137845296,0.718750111677846
"- cite_70pc_dominator",0.00251571504710193,-0.117384040244836,0.10743382356718,-0.00995021667765647,0.103550534436572,0.0307907535347687,0.23821590395518,0.054857367910534,0.00253673757971915,-0.0465524253271327,0.370503984693826,0.53397867201271,0.0453536775660308,0.0306453310587047,0.742008367526872,0.761190877902909
"- cite_90pc_dominator",0.00306191386410406,-0.265739867863184,0.296640902701856,0.0309010348386718,0.0141927763297263,0.00533793246680919,0.0332768681354918,0.00107547038019202,0.00296679777294018,-0.0701631538325299,0.301117349765907,0.542613231739226,0.0208221178722837,0.109907314530612,0.390526992527369,0.387602260356658
