"","both_pcd","both_coe_rr","both_coe_rrprev","both_coe_sum","both_pNW_rr","both_pDC_rr","both_pNW_rrprev","both_pDC_rrprev","only_pcd_rr","only_coe_rr","only_pNW_rr","only_pDC_rr","only_pcd_rrprev","only_coe_rrprev","only_pNW_rrprev","only_pDC_rrprev"
"ex_log - log_med",0.064292844496059,0.435305207992697,-1.26859310687141,-0.833287898878715,0.162912143405205,0.0114035045843859,0.0138485643229278,0.000211719619432568,0.501473954658876,-0.268031519523349,0.000412127437119907,8.99182947072333e-05,0.0584107989873842,-0.992208868444234,0.0193953072792035,0.0250310764432857
"log_cite_top_1_in_10 - log_med",0.551487050061846,-0.594074233184649,0.391394247650132,-0.202679985534517,0.401576917688797,0.168798302493408,0.691804208837859,0.437859598245378,0.55041154672994,-0.377076404787375,0.291597087720902,0.377767143491808,0.51404988904972,0.0142042864615515,0.982483977505425,0.974952820919108
"log_cite_top_1_in_100 - log_med",0.00477184985823805,-0.624611860249623,-0.428444512965937,-1.05305637321556,0.473927011091047,0.153801956827974,0.703115462491873,0.58649017934289,0.00481293670185816,-0.862151194208977,0.084721506654055,0.241204424418664,0.00441518263011731,-0.825023442273325,0.291892755228162,0.359034781048018
"cite_30pc_dominator",0.00571907205896281,0.0681453780019806,-0.0589398599454427,0.00920551805653785,0.0141994245013917,3.81440612967717e-05,0.179621335143787,0.120247590915632,0.00431924930286082,0.0353267702060412,0.0419154094705883,0.135601585294871,0.00842288720486244,-0.0100627597564667,0.792382096301696,0.817411362081486
"cite_50pc_dominator",0.507471279910857,0.0955024770082253,-0.090067140774006,0.0054353362342193,0.0259196307308242,0.000131965025520851,0.157502213464558,0.0566371225796152,0.518908021860473,0.0453517272253138,0.0604193155874483,0.145067189488953,0.468153658713707,-0.0215682304459895,0.706498137845296,0.718750111677846
"cite_70pc_dominator",0.0460147381996096,0.182458939417462,-0.161513544336832,0.0209453950806301,0.00223286928694642,8.52629041945785e-05,0.105812251094879,0.0690319883865161,0.0523842312109065,0.0925257487001956,0.0344314137253228,0.139930220477289,0.0453536775660308,-0.0306453310587047,0.742008367526872,0.761190877902909
"cite_90pc_dominator",0.010102998843685,0.464085183474981,-0.4427712397739,0.0213139437010818,0.000382175792262999,0.0021478807239328,0.00111803120729917,0.000187209076741691,0.0150985803340983,0.217543442878519,0.0784451055693165,0.21976084583919,0.0208221178722837,-0.109907314530612,0.390526992527369,0.387602260356658
