,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2728768988,1981.0,0.17426667324676,1.0,0.0,1.0,0.0
1,W2002265316,1981.0,0.16113464448964,52.0,0.0,2.0,0.0
2,W2025680720,1981.0,0.2161138513874209,215.0,0.0,2.0,0.0
3,W2137565419,1981.0,0.6769675866241599,11.0,0.0,3.0,0.0
4,W1544260765,1981.0,0.0,15.0,0.0,3.0,0.0
5,W2036420699,1981.0,0.28664700293306244,142.0,0.0,1.0,0.0
6,W2048917858,1981.0,0.2717830399824225,27.0,0.0,1.0,0.0
7,W2069530873,1981.0,0.0,6.0,0.0,1.0,0.0
8,W2090735512,1981.0,0.0255174873949636,1.0,0.0,1.0,0.0
9,W2058719195,1981.0,0.11538136107802238,7.0,0.0,3.0,0.0
10,W1970066673,1981.0,0.56413889202724,25.0,0.0,2.0,0.0
11,W2055725320,1981.0,0.72920925390625,76.0,0.0,2.0,0.0
12,W2045096187,1981.0,0.1894880575611076,17.0,0.0,2.0,0.0
13,W67399847,1981.0,0.5692032071040248,1.0,0.0,2.0,0.0
14,W2040624390,1981.0,0.0,48.0,0.0,1.0,0.0
15,W2249526265,1981.0,0.05193696968198559,1.0,0.0,2.0,0.0
16,W2122003969,1981.0,0.52448780075409,332.0,0.0,2.0,0.0
17,W2057869046,1981.0,0.0,219.0,0.0,1.0,0.0
18,W2132056139,1981.0,0.28560786810978483,206.0,0.0,4.0,0.0
19,W2119380668,1981.0,0.43241861089999356,191.0,0.0,1.0,0.0
20,W2145289614,1981.0,0.0633649872794409,6.0,0.0,1.0,0.0
21,W2013336427,1981.0,0.0,18.0,0.0,1.0,0.0
22,W2043311805,1981.0,0.0,41.0,0.0,2.0,0.0
23,W2051040605,1981.0,0.0,14.0,0.0,2.0,0.0
24,W2164880591,1981.0,0.0,37.0,0.0,2.0,0.0
25,W2329673123,1981.0,0.0,15.0,0.0,2.0,0.0
26,W1495657800,1981.0,0.1535039802413056,39.0,0.0,2.0,0.0
27,W2036883025,1981.0,0.0,2.0,0.0,1.0,0.0
28,W2095516819,1981.0,0.0386041467651844,59.0,0.0,1.0,0.0
29,W2100783381,1981.0,0.5714872239207076,15.0,0.0,1.0,0.0
30,W2015148966,1981.0,0.1521084709179396,410.0,0.0,1.0,0.0
31,W2023961800,1981.0,0.13717866286190442,79.0,0.0,2.0,0.0
32,W2113446256,1981.0,0.6190479456160001,2474.0,0.0,1.0,0.0
33,W1822447224,1981.0,0.158053158481,0.0,0.0,3.0,0.0
34,W2795763678,1981.0,0.12709995051664003,43.0,0.0,1.0,0.0
35,W1959903498,1981.0,0.0,0.0,0.0,1.0,0.0
36,W2085653704,1981.0,0.0,15.0,0.0,3.0,0.0
37,W2046158035,1981.0,0.79785822508681,14.0,0.0,4.0,0.0
38,W193887220,1981.0,0.41609659808025,36.0,0.0,1.0,0.0
39,W1524521678,1981.0,0.37898539880041004,2.0,0.0,1.0,0.0
40,W2147364898,1981.0,0.09217072551754238,7.0,0.0,2.0,0.0
41,W2021776742,1981.0,0.39571292312840894,3.0,0.0,2.0,0.0
42,W2070640744,1981.0,0.43267926442896004,5.0,0.0,1.0,0.0
43,W2010770924,1981.0,0.56163288443089,14.0,0.0,1.0,0.0
44,W2726743857,1981.0,0.35847921749819556,1.0,0.0,2.0,0.0
45,W2019685346,1981.0,0.0,1.0,0.0,3.0,0.0
46,W85352232,1981.0,0.5660555910795555,10.0,0.0,1.0,0.0
47,W2048238587,1981.0,0.0082609684686169,1.0,0.0,3.0,0.0
48,W1971425904,1981.0,0.0168328386584449,14.0,0.0,1.0,0.0
49,W2077215462,1981.0,0.017951559514564897,16.0,0.0,1.0,0.0
50,W2043771794,1981.0,0.0419707826979984,63.0,0.0,1.0,0.0
51,W2121712307,1981.0,0.2450144467136356,174.0,0.0,1.0,0.0
