,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2141998574,1997.0,0.050242836962739595,17.0,0.0,4.0,0.0
1,W2075963501,1997.0,0.0061162628987716005,9.0,0.0,2.0,0.0
2,W2103321418,1997.0,0.06929989911158758,4.0,0.0,3.0,0.0
3,W2086080213,1997.0,0.1727205089957649,1.0,0.0,2.0,0.0
4,W2158734602,1997.0,0.30369847972340247,0.0,0.0,2.0,0.0
5,W1983829463,1997.0,0.1966030545243249,0.0,0.0,3.0,0.0
6,W2124808922,1997.0,0.1660976138255625,19.0,0.0,4.0,0.0
7,W1590133407,1997.0,0.08387406794404,6.0,0.0,1.0,0.0
8,W1504151669,1997.0,0.1716096408530436,0.0,0.0,1.0,0.0
9,W2180017663,1997.0,0.14668170777063042,48.0,0.0,2.0,0.0
10,W2078292957,1997.0,0.07443963022751289,4.0,0.0,1.0,0.0
11,W2162091558,1997.0,0.12639703015696,7.0,0.0,1.0,0.0
12,W1924626564,1997.0,0.48423408268249,2.0,0.0,3.0,0.0
13,W2147212968,1997.0,0.41237184159542256,66.0,0.0,3.0,0.0
14,W2166831879,1997.0,0.30273643618200996,70.0,0.0,3.0,0.0
15,W2140081117,1997.0,0.3695084534860849,32.0,0.0,2.0,0.0
16,W147728794,1997.0,0.39535686883081,24.0,0.0,3.0,0.0
17,W2138945220,1997.0,0.33458022372681,12.0,0.0,2.0,0.0
18,W1980589353,1997.0,0.3892779757701025,22.0,0.0,2.0,0.0
19,W2134214253,1997.0,0.30049626916516,22.0,0.0,2.0,0.0
20,W2098298319,1997.0,0.08218817455104001,48.0,0.0,2.0,0.0
21,W2037542691,1997.0,0.0753137898316164,4.0,0.0,5.0,0.0
22,W2041756370,1997.0,0.24502483170002887,58.0,0.0,3.0,0.0
23,W2158689539,1997.0,0.16915705394918487,55.0,0.0,1.0,0.0
24,W2116634999,1997.0,0.0,45.0,0.0,3.0,0.0
25,W2170814423,1997.0,0.25047682714756003,59.0,0.0,3.0,0.0
26,W1979392834,1997.0,0.1135260837351424,71.0,0.0,3.0,0.0
27,W2005907373,1997.0,0.21885433606969,8.0,0.0,4.0,0.0
28,W2758436683,1997.0,0.5454304898866755,10.0,0.0,2.0,0.0
29,W2759642884,1997.0,0.55001016215289,1.0,0.0,3.0,0.0
30,W2757745849,1997.0,0.42428027142399993,0.0,0.0,3.0,0.0
31,W1983425265,1997.0,0.1682951920297209,317.0,0.0,3.0,0.0
32,W1614450602,1997.0,0.1928031544334736,6.0,0.0,2.0,0.0
33,W2117929680,1997.0,0.32027382207075994,19.0,0.0,3.0,0.0
34,W2153899482,1997.0,0.2486326348181776,1.0,0.0,2.0,0.0
35,W2137603195,1997.0,0.13855249285696,27.0,0.0,2.0,0.0
36,W1921739768,1997.0,0.27463437670249,24.0,0.0,3.0,0.0
37,W1915901550,1997.0,0.1687180845144249,19.0,0.0,4.0,0.0
38,W1900071824,1997.0,0.29639352838252964,10.0,0.0,3.0,0.0
39,W2000353609,1997.0,0.050060299095728095,351.0,0.0,3.0,0.0
40,W1543935736,1997.0,0.20549858721303038,12.0,0.0,3.0,0.0
41,W1882724936,1997.0,0.31952372885449004,3.0,0.0,2.0,0.0
42,W2102408042,1997.0,0.30834376342641,3.0,0.0,2.0,0.0
43,W2166261703,1997.0,0.758132421264,15.0,0.0,1.0,0.0
44,W1969548623,1997.0,0.71024172077056,0.0,0.0,2.0,0.0
45,W1856463811,1997.0,0.5026774550062499,1.0,0.0,2.0,0.0
46,W2099627011,1997.0,0.6585687680062501,25.0,0.0,2.0,0.0
47,W2124003431,1997.0,0.5128732574128899,5.0,0.0,2.0,0.0
48,W2099331245,1997.0,0.3418831412159076,3.0,0.0,3.0,0.0
49,W1996032708,1997.0,0.13389106483123842,2.0,0.0,2.0,0.0
50,W2094998497,1997.0,0.18695758381424638,2.0,0.0,2.0,0.0
51,W2137243535,1997.0,0.15928476111450252,2.0,0.0,1.0,0.0
52,W2147958267,1997.0,0.31975185370260256,145.0,0.0,2.0,0.0
53,W2164681507,1997.0,0.1773350386101889,7.0,0.0,3.0,0.0
54,W2123977594,1997.0,0.25720203537080993,1.0,0.0,3.0,0.0
55,W1509780744,1997.0,0.3891174199042729,0.0,0.0,2.0,0.0
56,W2166863879,1997.0,0.31631299437241,16.0,0.0,2.0,0.0
57,W2115249680,1997.0,0.5357778264347717,3.0,0.0,1.0,0.0
58,W1930484041,1997.0,0.37630626572532483,14.0,0.0,3.0,0.0
59,W1795948447,1997.0,0.32328406927056247,11.0,0.0,3.0,0.0
60,W1558848708,1997.0,0.2448775616861025,5.0,0.0,3.0,0.0
61,W2107405372,1997.0,0.40248860951601007,5.0,0.0,3.0,0.0
62,W2156873112,1997.0,0.009037966453968399,79.0,0.0,4.0,0.0
63,W1852781360,1997.0,0.1856109216447396,1.0,0.0,1.0,0.0
64,W2110645403,1997.0,0.6363234712452996,4.0,0.0,2.0,0.0
65,W2104628520,1997.0,0.36393758860176006,55.0,0.0,3.0,0.0
66,W2099934890,1997.0,0.5920438690805769,8.0,0.0,4.0,0.0
67,W1602600491,1997.0,0.55881635061604,32.0,0.0,3.0,0.0
68,W2142569085,1997.0,0.53295591946689,50.0,0.0,2.0,0.0
69,W192522056,1997.0,0.59223259792225,55.0,0.0,3.0,0.0
70,W2114715009,1997.0,0.18825250522056247,6.0,0.0,2.0,0.0
71,W2565016932,1997.0,0.32897577680881,9.0,0.0,3.0,0.0
72,W2067619850,1997.0,0.571963779455437,5.0,0.0,3.0,0.0
73,W2058113090,1997.0,0.35111095173074564,0.0,0.0,2.0,0.0
74,W2112293506,1997.0,0.3053209401269317,2.0,0.0,4.0,0.0
75,W1896264178,1997.0,0.2493602597920225,8.0,0.0,3.0,0.0
76,W2099425240,1997.0,0.39109351540008996,31.0,0.0,2.0,0.0
77,W2163530519,1997.0,0.5091969444493368,7.0,0.0,3.0,0.0
78,W2155276980,1997.0,0.41110999709796003,4.0,0.0,3.0,0.0
79,W2007888242,1997.0,0.35232558232804007,14.0,0.0,3.0,0.0
80,W2004994370,1997.0,0.2291297077575025,12.0,0.0,3.0,0.0
81,W2073677142,1997.0,0.12454604687307241,3.0,0.0,3.0,0.0
82,W1850267468,1997.0,0.40514103374760996,9.0,0.0,3.0,0.0
83,W1654466286,1997.0,0.2940155852025616,6.0,0.0,2.0,0.0
84,W1835277605,1997.0,0.3921108602987536,6.0,0.0,3.0,0.0
85,W1506352703,1997.0,0.14286147208803998,4.0,0.0,3.0,0.0
86,W1601811407,1997.0,0.5041093720435601,4.0,0.0,2.0,0.0
87,W2090726647,1997.0,0.33780127462142767,11.0,0.0,2.0,0.0
88,W1981999516,1997.0,0.10726592456815291,1.0,0.0,3.0,0.0
89,W2098247502,1997.0,0.0,2.0,0.0,5.0,0.0
90,W2155487796,1997.0,0.14636673715048362,43.0,0.0,3.0,0.0
91,W2076720461,1997.0,0.0579715749280369,0.0,0.0,3.0,0.0
92,W2169741568,1997.0,0.22031548158261757,67.0,0.0,2.0,0.0
93,W2147824688,1997.0,0.0206022502938256,88.0,0.0,1.0,0.0
94,W1632611133,1997.0,0.053809839651470404,0.0,0.0,3.0,0.0
95,W1990255052,1997.0,0.18837428052352362,7.0,0.0,4.0,0.0
96,W2003346496,1997.0,0.6312954006810001,118.0,0.0,5.0,0.0
97,W2029916517,1997.0,0.6193947036866689,12.0,0.0,2.0,0.0
98,W2148408095,1997.0,0.5397393770839849,19.0,0.0,2.0,0.0
99,W2059293363,1997.0,0.33494183957055995,5.0,0.0,3.0,0.0
100,W2047320273,1997.0,0.42036622889503356,5.0,0.0,5.0,0.0
101,W2149686098,1997.0,0.6343137427041856,47.0,0.0,5.0,0.0
102,W2129588123,1997.0,0.77019843449025,2.0,0.0,5.0,0.0
103,W2134495880,1997.0,0.47059202120841004,14.0,0.0,4.0,0.0
104,W358730118,1997.0,0.53049940364521,2.0,0.0,4.0,0.0
105,W2013785507,1997.0,0.33814078462158764,27.0,0.0,2.0,0.0
106,W1971488966,1997.0,0.7193934345580095,44.0,0.0,9.0,0.0
107,W160271479,1997.0,0.5927238370873599,7.0,0.0,2.0,0.0
108,W2546299398,1997.0,0.27597969904129,663.0,0.0,4.0,0.0
109,W2089134263,1997.0,0.7387362447354289,141.0,0.0,8.0,0.0
110,W2033796898,1997.0,0.6312840387958225,2.0,0.0,2.0,0.0
111,W2040879674,1997.0,0.69547960769764,0.0,0.0,2.0,0.0
112,W2106991982,1997.0,0.0,409.0,0.0,6.0,0.0
