,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2007073366,1983.0,0.19954805513232038,26.0,0.0,1.0,0.0
1,W260716802,1983.0,0.09620461005294238,1.0,0.0,3.0,0.0
2,W174945281,1983.0,0.1313889085721664,2.0,0.0,5.0,0.0
3,W2012326638,1983.0,0.0,0.0,0.0,2.0,0.0
4,W1970496130,1983.0,0.0,3.0,0.0,1.0,0.0
5,W2078711499,1983.0,0.020172986761089595,30.0,0.0,2.0,0.0
6,W2008522635,1983.0,0.41835631994209,5.0,0.0,3.0,0.0
7,W1983149441,1983.0,0.006582608474492177,15.0,0.0,1.0,0.0
8,W1564784896,1983.0,0.0,9.0,0.0,1.0,0.0
9,W2055145912,1983.0,0.1866076102798609,10.0,0.0,2.0,0.0
10,W2050696672,1983.0,0.06828098241969,5.0,0.0,2.0,0.0
11,W2013062982,1983.0,0.0095232264724804,11.0,0.0,1.0,0.0
12,W2004292996,1983.0,0.2320128960992089,17.0,0.0,2.0,0.0
13,W1995648697,1983.0,0.14564557853316001,0.0,0.0,2.0,0.0
14,W2084390537,1983.0,0.017773739784876102,0.0,0.0,3.0,0.0
15,W2022791687,1983.0,0.09443113891224998,35.0,0.0,2.0,0.0
16,W2032241893,1983.0,0.6236531612097796,3.0,0.0,2.0,0.0
17,W2021636211,1983.0,0.31729562409999995,12.0,0.0,2.0,0.0
18,W2076983879,1983.0,0.055730102498617595,22.0,0.0,1.0,0.0
19,W1970552818,1983.0,0.75492256522384,7.0,0.0,2.0,0.0
20,W2155143729,1983.0,0.15150917886724002,200.0,0.0,1.0,0.0
21,W2112952306,1983.0,0.1723161294516484,110.0,0.0,2.0,0.0
22,W2161684405,1983.0,0.2400798320235364,2.0,0.0,3.0,0.0
23,W2013267907,1983.0,0.0,385.0,0.0,2.0,0.0
24,W2018217756,1983.0,0.0,47.0,0.0,3.0,0.0
25,W2139053866,1983.0,0.0,330.0,0.0,24.0,0.0
26,W2120668318,1983.0,0.0,45.0,0.0,2.0,0.0
27,W1973213055,1983.0,0.10953837400827242,6.0,0.0,1.0,0.0
28,W2143629881,1983.0,0.0,1.0,0.0,2.0,0.0
29,W2075022602,1983.0,0.41785951453389164,1.0,0.0,2.0,0.0
30,W2119497338,1983.0,0.7144651438081601,21.0,0.0,3.0,0.0
31,W1969803736,1983.0,0.1453391721390625,30.0,0.0,2.0,0.0
32,W2019191011,1983.0,0.1416861744218176,35.0,0.0,2.0,0.0
33,W2104494325,1983.0,0.41797449479968096,109.0,0.0,2.0,0.0
34,W2160722990,1983.0,0.8015432888102499,9.0,0.0,2.0,0.0
35,W2002920633,1983.0,0.5456980783104399,28.0,0.0,2.0,0.0
36,W2029138605,1983.0,0.21305969673921,95.0,0.0,2.0,0.0
37,W2008228010,1983.0,0.5054657710285456,15.0,0.0,1.0,0.0
38,W2086070079,1983.0,0.8282120065871715,490.0,0.0,1.0,0.0
39,W2116643105,1983.0,0.2745890477550025,158.0,0.0,1.0,0.0
40,W1936357340,1983.0,0.230451842916,17.0,0.0,2.0,0.0
41,W1993759739,1983.0,0.07719795516304001,4.0,0.0,3.0,0.0
42,W1993899429,1983.0,0.0,22.0,0.0,3.0,0.0
43,W2332551937,1983.0,0.057731388440544894,35.0,0.0,1.0,0.0
44,W2028767409,1983.0,0.0,147.0,0.0,4.0,0.0
45,W173033638,1983.0,0.40284477547629155,48.0,0.0,1.0,0.0
46,W2062684946,1983.0,0.42358684806025,19.0,0.0,1.0,0.0
47,W7693664,1983.0,0.61286774416569,29.0,0.0,7.0,0.0
48,W2069112703,1983.0,0.23362770585025003,0.0,0.0,1.0,0.0
49,W2050886924,1983.0,0.45205250545225,93.0,0.0,1.0,0.0
50,W2638905538,1983.0,0.19925885400964,12.0,0.0,1.0,0.0
51,W1975338066,1983.0,0.0,20.0,0.0,2.0,0.0
52,W1992426781,1983.0,0.0,11.0,0.0,2.0,0.0
53,W2058718949,1983.0,0.0,2.0,0.0,2.0,0.0
54,W2330423162,1983.0,0.0581628193746961,3.0,0.0,3.0,0.0
55,W2079671637,1983.0,0.008199988883364099,591.0,0.0,2.0,0.0
56,W2113701159,1983.0,0.08962321118824959,29.0,0.0,2.0,0.0
57,W2041674158,1983.0,0.015099006570340223,153.0,0.0,3.0,0.0
58,W1909737442,1983.0,0.46599463904399996,5.0,0.0,4.0,0.0
59,W2053062856,1983.0,0.0531389816987236,15.0,0.0,2.0,0.0
60,W2010056450,1983.0,0.031004423477332895,6.0,0.0,2.0,0.0
61,W2035480423,1983.0,0.31134915737688995,1.0,0.0,1.0,0.0
62,W1971277379,1983.0,0.0,9.0,0.0,1.0,0.0
63,W2095841789,1983.0,0.15429993178609,5.0,0.0,1.0,0.0
64,W1570304374,1983.0,0.0,0.0,0.0,1.0,0.0
65,W2013999463,1983.0,0.32593651537225005,12.0,0.0,1.0,0.0
66,W2095135508,1983.0,0.31008353736710254,1.0,0.0,1.0,0.0
67,W2094102927,1983.0,0.0,0.0,0.0,1.0,0.0
68,W2021597197,1983.0,0.30412037413521,40.0,0.0,2.0,0.0
69,W1966247844,1983.0,0.31022382411075994,2.0,0.0,1.0,0.0
