,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2111833966,2002.0,0.14409961438070248,6.0,0.0,2.0,0.0
1,W2128711979,2002.0,0.09688470497108642,3.0,0.0,3.0,0.0
2,W2165619090,2002.0,0.19571990122185642,0.0,0.0,2.0,0.0
3,W1543770982,2002.0,0.14594055634958888,2.0,0.0,3.0,0.0
4,W2123272322,2002.0,0.07635350504510441,14.0,0.0,2.0,0.0
5,W1971458342,2002.0,0.07140768813950889,48.0,0.0,3.0,0.0
6,W2071231411,2002.0,0.1045938599268676,17.0,0.0,2.0,0.0
7,W2090073094,2002.0,0.0932943999633424,13.0,0.0,2.0,0.0
8,W2055376174,2002.0,0.18518948601879043,4.0,0.0,2.0,0.0
9,W2011416770,2002.0,0.07013890140625,1.0,0.0,4.0,0.0
10,W2068343468,2002.0,0.09369751610025,1.0,0.0,2.0,0.0
11,W2079006404,2002.0,0.1085157114208729,0.0,0.0,2.0,0.0
12,W2120351803,2002.0,0.16998576522488998,39.0,0.0,3.0,0.0
13,W2107084329,2002.0,0.34559971985529003,29.0,0.0,2.0,0.0
14,W2158302611,2002.0,0.28689906839616003,25.0,0.0,2.0,0.0
15,W2119628068,2002.0,0.0456988228462089,4.0,0.0,2.0,0.0
16,W2119123563,2002.0,0.1545447103230625,3.0,0.0,4.0,0.0
17,W2180169853,2002.0,0.1027355255978689,53.0,0.0,3.0,0.0
18,W2106415647,2002.0,0.1683962898437689,17.0,0.0,2.0,0.0
19,W1490138904,2002.0,0.2632943305581796,10.0,0.0,3.0,0.0
20,W2151547868,2002.0,0.11740162137663998,6.0,0.0,2.0,0.0
21,W2151733464,2002.0,0.17616017756736,4.0,0.0,2.0,0.0
22,W1508190992,2002.0,0.26682731174088997,2.0,0.0,3.0,0.0
23,W1899098353,2002.0,0.13898048121673962,2.0,0.0,4.0,0.0
24,W2105704965,2002.0,0.28698798979876,181.0,0.0,3.0,0.0
25,W1981361874,2002.0,0.41752383114950553,80.0,0.0,5.0,0.0
26,W1989333790,2002.0,0.21072892232484003,3.0,0.0,3.0,0.0
27,W2074570591,2002.0,0.08383543839225001,59.0,0.0,2.0,0.0
28,W2132495719,2002.0,0.3953770401612196,0.0,0.0,4.0,0.0
29,W2103370489,2002.0,0.59507385094609,13.0,0.0,2.0,0.0
30,W2104551887,2002.0,0.48844821054648996,103.0,0.0,7.0,0.0
31,W1998484456,2002.0,0.31524833631204,20.0,0.0,5.0,0.0
32,W2102475823,2002.0,0.36902628870811566,49.0,0.0,2.0,0.0
33,W2069666544,2002.0,0.10853570137890492,124.0,0.0,3.0,0.0
34,W2169174970,2002.0,0.34920204686224005,24.0,0.0,2.0,0.0
35,W2142473411,2002.0,0.28659951543001005,256.0,0.0,5.0,0.0
36,W2142218060,2002.0,0.1530761321253025,19.0,0.0,6.0,0.0
37,W2006234754,2002.0,0.0,1.0,0.0,32.0,0.0
38,W2287887285,2002.0,0.0,2.0,0.0,16.0,0.0
39,W3105644180,2002.0,0.0,38.0,1.0,2.0,0.0
40,W1897591244,2002.0,0.0,9.0,0.0,27.0,0.0
41,W1487585329,2002.0,0.0,30.0,0.0,27.0,0.0
42,W2121276932,2002.0,0.64053147029041,13.0,0.0,5.0,0.0
43,W2148338683,2002.0,0.37966534566601007,4.0,0.0,5.0,0.0
44,W2111917323,2002.0,0.32400093483664,3.0,0.0,5.0,0.0
45,W4228954,2002.0,0.11840990273476,7.0,0.0,4.0,0.0
46,W1509527380,2002.0,0.0556512209241121,2.0,0.0,2.0,0.0
47,W2166867051,2002.0,0.0460907484187536,33.0,0.0,2.0,0.0
48,W2125399128,2002.0,0.49416892981224997,185.0,0.0,3.0,0.0
49,W1976216213,2002.0,0.7004397062060176,72.0,0.0,4.0,0.0
50,W2044037267,2002.0,0.49816747377604004,4.0,0.0,6.0,0.0
