,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2104927438,2011.0,0.3835934315406401,16.0,0.0,3.0,0.0
1,W2003774915,2011.0,0.1578597972517476,5.0,0.0,4.0,0.0
2,W2112466916,2011.0,0.1503259143996996,113.0,0.0,3.0,0.0
3,W2136134233,2011.0,0.40278836526720996,11.0,0.0,3.0,0.0
4,W2122704222,2011.0,0.19184010181980252,10.0,0.0,4.0,0.0
5,W1979425065,2011.0,0.3552033053134225,6.0,0.0,3.0,0.0
6,W2011961680,2011.0,0.7952869070899601,13.0,0.0,5.0,0.0
7,W2093208995,2011.0,0.7606064285839008,6.0,0.0,4.0,0.0
8,W2107716280,2011.0,0.4375946069072355,13.0,0.0,3.0,0.0
9,W2069468668,2011.0,0.7317303056407696,1.0,0.0,4.0,0.0
10,W1483729809,2011.0,0.0,14.0,0.0,25.0,0.0
11,W1484582780,2011.0,0.46518524561600993,0.0,0.0,3.0,0.0
12,W2129710685,2011.0,0.5781405320015809,28.0,0.0,3.0,0.0
13,W2137502192,2011.0,0.43376357561329,25.0,0.0,3.0,0.0
14,W2154956709,2011.0,0.6658886404,14.0,0.0,3.0,0.0
15,W2052449740,2011.0,0.1642945571560225,31.0,0.0,4.0,0.0
16,W1976061355,2011.0,0.2087241388477569,17.0,0.0,3.0,0.0
17,W2025301377,2011.0,0.48036903509955997,10.0,0.0,3.0,0.0
18,W2548671968,2011.0,0.4430286049435236,2.0,0.0,4.0,0.0
19,W2016934977,2011.0,0.48077342530819284,1.0,0.0,3.0,0.0
20,W1997310315,2011.0,0.43737205054921,7.0,0.0,4.0,0.0
21,W2007631443,2011.0,0.6599079733478401,191.0,0.0,5.0,0.0
22,W2168208361,2011.0,0.54817868480281,45.0,0.0,3.0,0.0
23,W2165511399,2011.0,0.5474719282891717,33.0,0.0,6.0,0.0
24,W2137465094,2011.0,0.5891774598346816,86.0,0.0,6.0,0.0
25,W2166408466,2011.0,0.506636135235413,31.0,0.0,6.0,0.0
