,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2111287902,1982.0,0.0210575041529616,48.0,0.0,3.0,0.0
1,W2070351096,1982.0,0.0,461.0,0.0,2.0,0.0
2,W2024769232,1982.0,0.0,50.0,0.0,2.0,0.0
3,W2048354867,1982.0,0.3576319391056896,58.0,0.0,1.0,0.0
4,W2540657979,1982.0,0.10508281755903999,0.0,0.0,2.0,0.0
5,W2732110034,1982.0,0.30636988834761003,7.0,0.0,2.0,0.0
6,W2733370312,1982.0,0.06900660351156641,3.0,0.0,3.0,0.0
7,W2729392081,1982.0,0.053305020289439994,0.0,0.0,4.0,0.0
8,W2023408806,1982.0,0.0,3.0,0.0,2.0,0.0
9,W2058268792,1982.0,0.28456271451364,22.0,0.0,3.0,0.0
10,W2074089525,1982.0,0.25056702114889,11.0,0.0,3.0,0.0
11,W2019035718,1982.0,0.73702843121296,71.0,0.0,3.0,0.0
12,W2051302161,1982.0,0.005163917088160001,80.0,0.0,6.0,0.0
13,W2011200875,1982.0,0.0,7.0,0.0,1.0,0.0
14,W2020517953,1982.0,0.14140074188241,75.0,0.0,1.0,0.0
15,W2016348771,1982.0,0.23645000325156248,8.0,0.0,1.0,0.0
16,W2062786534,1982.0,0.0609935486584384,6.0,0.0,1.0,0.0
17,W2069446854,1982.0,0.49745810531040996,181.0,0.0,3.0,0.0
18,W2011095877,1982.0,0.6830428424716835,166.0,0.0,2.0,0.0
19,W2093824221,1982.0,0.33420605006502485,62.0,0.0,2.0,0.0
20,W2152894907,1982.0,0.0781272208855009,14.0,0.0,2.0,0.0
21,W1966940785,1982.0,0.0380372157809424,5.0,0.0,2.0,0.0
22,W2029973559,1982.0,0.1326628008639025,20.0,0.0,2.0,0.0
23,W2153896317,1982.0,0.1350273439968489,150.0,0.0,4.0,0.0
24,W2095419571,1982.0,0.42679069858084,110.0,0.0,1.0,0.0
25,W1991715600,1982.0,0.0,24.0,0.0,1.0,0.0
26,W2162988958,1982.0,0.0,559.0,0.0,1.0,0.0
27,W2541563178,1982.0,0.6774786296628099,1.0,0.0,2.0,0.0
28,W2747683607,1982.0,0.18535453099524002,7.0,0.0,2.0,0.0
29,W2048144927,1982.0,0.0,39.0,0.0,2.0,0.0
30,W1966557174,1982.0,0.23537622789857437,59.0,0.0,1.0,0.0
31,W2137842517,1982.0,0.0,400.0,0.0,24.0,0.0
32,W2079697736,1982.0,0.0,7.0,0.0,2.0,0.0
33,W1983081756,1982.0,0.0,8.0,0.0,3.0,0.0
34,W2088724815,1982.0,0.48562284913560255,0.0,0.0,3.0,0.0
35,W1983553644,1982.0,0.0,42.0,0.0,2.0,0.0
36,W2097964728,1982.0,0.46433463375468165,7.0,0.0,1.0,0.0
37,W3137092842,1982.0,0.7691536263571217,4734.0,0.0,3.0,0.0
38,W2166656159,1982.0,0.8078745701076648,526.0,0.0,2.0,0.0
39,W2018930611,1982.0,0.8500011142205025,57.0,0.0,1.0,0.0
40,W2082118289,1982.0,0.044499797025062494,29.0,0.0,1.0,0.0
41,W2021374455,1982.0,0.0,30.0,0.0,5.0,0.0
42,W1938332241,1982.0,0.1420451072632384,2.0,0.0,3.0,0.0
43,W2038222389,1982.0,0.16242047764277762,1.0,0.0,3.0,0.0
44,W2143046901,1982.0,0.0,98.0,0.0,3.0,0.0
45,W1987327482,1982.0,0.11333568005832252,4.0,0.0,1.0,0.0
46,W2068981034,1982.0,0.72357428904489,75.0,0.0,1.0,0.0
47,W2166939402,1982.0,0.0,0.0,0.0,2.0,0.0
48,W1978357145,1982.0,0.37181603819583997,14.0,0.0,2.0,0.0
49,W2080413870,1982.0,0.51484757882944,64.0,0.0,1.0,0.0
50,W1980574130,1982.0,0.47395527882481,0.0,0.0,2.0,0.0
51,W2118223336,1982.0,0.0,4.0,0.0,2.0,0.0
52,W2029692108,1982.0,0.2180013342315769,41.0,0.0,1.0,0.0
53,W1972281611,1982.0,0.0076086664136288985,3.0,0.0,2.0,0.0
54,W2074987220,1982.0,0.08258725290480039,7.0,0.0,1.0,0.0
55,W2029581862,1982.0,0.2015499429530596,1.0,0.0,1.0,0.0
56,W2064113451,1982.0,0.2438892842981904,1.0,0.0,1.0,0.0
57,W2152679844,1982.0,0.15851195598735998,257.0,0.0,1.0,0.0
