,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W1970136456,2014.0,0.6033130192593529,1.0,0.0,4.0,0.0
1,W2315101114,2014.0,0.20050614030797437,1.0,0.0,3.0,0.0
2,W2000300260,2014.0,0.17269356276522252,3.0,0.0,7.0,0.0
3,W1999400215,2014.0,0.42007581533215355,3.0,0.0,2.0,0.0
4,W2094434874,2014.0,0.34254549119929967,2.0,0.0,3.0,0.0
5,W2057705552,2014.0,0.8308993377542401,7.0,0.0,5.0,0.0
6,W2117660123,2014.0,0.48934627818241,10.0,0.0,5.0,0.0
7,W2220513247,2014.0,0.7317355065571601,2.0,0.0,6.0,0.0
8,W2073859581,2014.0,0.61568958934921,19.0,0.0,10.0,0.0
9,W2065049201,2014.0,0.6181937800089999,75.0,0.0,3.0,0.0
10,W2285460302,2014.0,0.75770461572129,0.0,0.0,7.0,0.0
11,W2397176421,2014.0,0.6801851810755599,0.0,0.0,4.0,0.0
12,W2398858571,2014.0,0.6778089598355717,0.0,0.0,4.0,0.0
13,W2400392604,2014.0,0.5738497313236901,0.0,0.0,3.0,0.0
14,W2400586106,2014.0,0.6913901546215876,0.0,0.0,3.0,0.0
15,W1967788125,2014.0,0.7874601957014117,16.0,0.0,14.0,0.0
16,W2032195548,2014.0,0.7099959936787601,1.0,0.0,4.0,0.0
17,W1970672184,2014.0,0.13004415909964961,33.0,0.0,3.0,0.0
18,W2134304263,2014.0,0.40444219618928995,2.0,0.0,4.0,0.0
19,W1982926317,2014.0,0.0,10.0,0.0,3.0,0.0
20,W2315081761,2014.0,0.0,31.0,0.0,2.0,0.0
21,W1981113552,2014.0,0.19322714769121002,11.0,0.0,3.0,0.0
22,W1979067691,2014.0,0.33113344932864164,9.0,0.0,5.0,0.0
23,W2764190085,2014.0,0.2730717754312901,15.0,1.0,2.0,0.0
24,W1987934278,2014.0,0.57440210260624,5.0,0.0,4.0,0.0
25,W2029098091,2014.0,0.0,2.0,0.0,3.0,0.0
26,W2057810079,2014.0,0.3114473149726225,13.0,0.0,2.0,0.0
27,W2259807919,2014.0,0.16737639239556,0.0,0.0,2.0,0.0
28,W2089991045,2014.0,0.16663030151406247,13.0,0.0,4.0,0.0
29,W2055216439,2014.0,0.11588365218893439,16.0,0.0,3.0,0.0
30,W2049541992,2014.0,0.7336862453207168,13.0,0.0,3.0,0.0
31,W2039421692,2014.0,0.4360571963029129,24.0,0.0,5.0,0.0
