,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2032373405,1996.0,0.1325392831343025,11.0,0.0,3.0,0.0
1,W2048757068,1996.0,0.12384114077449002,11.0,0.0,4.0,0.0
2,W1978016881,1996.0,0.0682408621194304,2.0,0.0,3.0,0.0
3,W2044656070,1996.0,0.0,12.0,0.0,3.0,0.0
4,W2166666127,1996.0,0.16143284961918491,12.0,0.0,3.0,0.0
5,W2280097091,1996.0,0.1736823628646656,14.0,0.0,3.0,0.0
6,W2731732336,1996.0,0.10911614494492888,3.0,0.0,3.0,0.0
7,W1554049432,1996.0,0.5732346920005695,0.0,0.0,3.0,0.0
8,W2033699235,1996.0,0.16943621085169,672.0,0.0,1.0,0.0
9,W2728331192,1996.0,0.05191860737790249,0.0,0.0,2.0,0.0
10,W2135169785,1996.0,0.22333125149800961,3.0,0.0,2.0,0.0
11,W2052557869,1996.0,0.22538562552416164,2.0,0.0,3.0,0.0
12,W2112469424,1996.0,0.21861403681924002,14.0,0.0,2.0,0.0
13,W2110814708,1996.0,0.25967870673424,11.0,0.0,2.0,0.0
14,W2569259520,1996.0,0.39773544117129,150.0,0.0,2.0,0.0
15,W1964251682,1996.0,0.2172017449688464,26.0,0.0,2.0,0.0
16,W2164482879,1996.0,0.40437427875848997,53.0,0.0,3.0,0.0
17,W2063098256,1996.0,0.1073641752859729,35.0,0.0,3.0,0.0
18,W2027665490,1996.0,0.6088472873796889,20.0,0.0,3.0,0.0
19,W105599615,1996.0,0.4752196223630625,37.0,0.0,2.0,0.0
20,W2026006690,1996.0,0.35250878190025,165.0,0.0,3.0,0.0
21,W2149175962,1996.0,0.2519681885923489,198.0,0.0,2.0,0.0
22,W2127994019,1996.0,0.431196353748485,2.0,0.0,2.0,0.0
23,W1981295470,1996.0,0.40464725493721004,7.0,0.0,3.0,0.0
24,W2074210283,1996.0,0.29482004795075556,73.0,0.0,2.0,0.0
25,W2036863782,1996.0,0.0,45.0,0.0,2.0,0.0
26,W2119583069,1996.0,0.15252936498800643,35.0,0.0,3.0,0.0
27,W1983561076,1996.0,0.0775605010298596,2.0,0.0,6.0,0.0
28,W2731962771,1996.0,0.2102137770053776,5.0,0.0,3.0,0.0
29,W2520536785,1996.0,0.14023287373824,1.0,0.0,3.0,0.0
30,W2065032877,1996.0,0.20285187272463998,0.0,0.0,4.0,0.0
31,W2057603117,1996.0,0.356895123649,17.0,0.0,4.0,0.0
32,W2137142533,1996.0,0.34754743665477156,180.0,0.0,2.0,0.0
33,W1852849176,1996.0,0.35299538819622256,34.0,0.0,2.0,0.0
34,W1532864123,1996.0,0.26246706907716,31.0,0.0,3.0,0.0
35,W2133450829,1996.0,0.11819108279449002,29.0,0.0,2.0,0.0
36,W2099978040,1996.0,0.0492865530330625,12.0,0.0,2.0,0.0
37,W2114552091,1996.0,0.32356392839823994,252.0,0.0,3.0,0.0
38,W2028680198,1996.0,0.30510261908490244,424.0,0.0,3.0,0.0
39,W1984701290,1996.0,0.27970009214223995,343.0,0.0,3.0,0.0
40,W1523144401,1996.0,0.31126513024995994,46.0,0.0,3.0,0.0
41,W1567295337,1996.0,0.21599122402207357,11.0,0.0,3.0,0.0
42,W1881177187,1996.0,0.1425891081906729,7.0,0.0,2.0,0.0
