,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2361962498,2016.0,0.5303658319488399,0.0,0.0,6.0,0.0
1,W2509630054,2016.0,0.1615102109318889,3.0,0.0,4.0,0.0
2,W2496354406,2016.0,0.50321941689616,16.0,0.0,2.0,0.0
3,W2579395854,2016.0,0.6368595420110401,2.0,0.0,4.0,0.0
4,W2341034245,2016.0,0.69204413328561,4.0,0.0,2.0,0.0
5,W2407129756,2016.0,0.6530127774350436,0.0,0.0,3.0,0.0
6,W2519269612,2016.0,0.5589234034992401,5.0,0.0,4.0,0.0
7,W2239034455,2016.0,0.5155558796928401,11.0,0.0,3.0,0.0
8,W2287083313,2016.0,0.18283041167209294,8.0,0.0,4.0,0.0
9,W2268170948,2016.0,0.236022044041,16.0,0.0,4.0,0.0
10,W2520075137,2016.0,0.49638055703184003,7.0,0.0,6.0,0.0
11,W2519576028,2016.0,0.4466133017531688,5.0,0.0,5.0,0.0
12,W2337251655,2016.0,0.48086333293760997,2.0,0.0,3.0,0.0
13,W2337074574,2016.0,0.1152395753772025,13.0,0.0,3.0,0.0
14,W2303338686,2016.0,0.0,4.0,0.0,3.0,0.0
15,W2406098088,2016.0,0.23345918226529958,14.0,0.0,2.0,0.0
16,W2421630208,2016.0,0.5262575351832101,2.0,0.0,4.0,0.0
17,W2341653141,2016.0,0.44061841202608365,37.0,0.0,3.0,0.0
18,W2275090026,2016.0,0.0,17.0,0.0,3.0,0.0
19,W2552597207,2016.0,0.4248491974728849,12.0,0.0,6.0,0.0
20,W2417049676,2016.0,0.47277161953921004,74.0,0.0,3.0,0.0
21,W2596567843,2016.0,0.35006469140502244,4.0,0.0,3.0,0.0
22,W2542414541,2016.0,0.2520761526038596,37.0,0.0,3.0,0.0
23,W2507940659,2016.0,0.50686169614084,14.0,0.0,3.0,0.0
24,W2549721973,2016.0,0.2428612624273936,1.0,0.0,5.0,0.0
25,W2605278934,2016.0,0.5850361214423717,23.0,0.0,2.0,0.0
26,W2604158842,2016.0,0.66759570446409,10.0,0.0,2.0,0.0
27,W773168062,2016.0,0.7485206862068099,7.0,0.0,5.0,0.0
28,W2411773768,2016.0,0.7452198994254399,28.0,0.0,4.0,0.0
29,W2228108997,2016.0,0.80837038047364,8.0,0.0,3.0,0.0
30,W2038302346,2016.0,0.7540273807562501,0.0,0.0,5.0,0.0
31,W1994632815,2016.0,0.76857080311489,5.0,0.0,6.0,0.0
32,W2319351921,2016.0,0.49033808829810255,7.0,0.0,5.0,0.0
33,W2293698374,2016.0,0.58147304691844,6.0,0.0,4.0,0.0
34,W2505328073,2016.0,0.4780224828288901,14.0,0.0,9.0,0.0
35,W2326035635,2016.0,0.36052831368801,13.0,0.0,5.0,0.0
