,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W3140863732,1995.0,0.0932428852347204,13.0,0.0,3.0,0.0
1,W2089152169,1995.0,0.16026362850436,11.0,0.0,2.0,0.0
2,W1496826129,1995.0,0.47988565954883994,10.0,0.0,4.0,0.0
3,W1939035597,1995.0,0.0586419402345604,7.0,0.0,3.0,0.0
4,W2331094886,1995.0,0.1949454382695876,0.0,0.0,3.0,0.0
5,W1877552672,1995.0,0.24161419643072893,39.0,0.0,1.0,0.0
6,W2621026883,1995.0,0.049770834674688395,27.0,0.0,1.0,0.0
7,W1587301214,1995.0,0.15817284639025,0.0,0.0,2.0,0.0
8,W1549159444,1995.0,0.1741822578581904,2.0,0.0,1.0,0.0
9,W2135167102,1995.0,0.0,168.0,0.0,1.0,0.0
10,W2063409033,1995.0,0.1288888694001216,39.0,0.0,1.0,0.0
11,W2020588656,1995.0,0.1659771473725849,1.0,0.0,1.0,0.0
12,W2156498513,1995.0,0.0,18.0,0.0,1.0,0.0
13,W2111796815,1995.0,0.5296951689625601,7.0,0.0,2.0,0.0
14,W2129169430,1995.0,0.22205516826529,1.0,0.0,5.0,0.0
15,W2331150833,1995.0,0.077446993849,2.0,0.0,2.0,0.0
16,W2045572068,1995.0,0.27842282777293687,57.0,0.0,4.0,0.0
17,W2107231906,1995.0,0.31166703421596087,29.0,0.0,2.0,0.0
18,W2157335472,1995.0,0.31185612710463995,17.0,0.0,3.0,0.0
19,W2158893173,1995.0,0.58425721643584,11.0,0.0,2.0,0.0
20,W2034398542,1995.0,0.42213624732721683,77.0,0.0,3.0,0.0
21,W2065469236,1995.0,0.0,2.0,0.0,3.0,0.0
22,W2126911703,1995.0,0.26612257911849,40.0,0.0,2.0,0.0
23,W2053470721,1995.0,0.48360090956164,29.0,0.0,2.0,0.0
24,W2018789805,1995.0,0.5125708568154915,25.0,0.0,2.0,0.0
25,W2100940102,1995.0,0.249753061009,2.0,0.0,4.0,0.0
26,W1560379432,1995.0,0.03825181803571841,5.0,0.0,2.0,0.0
27,W2095533690,1995.0,0.1473056178811396,107.0,0.0,2.0,0.0
28,W1989950430,1995.0,0.17798037187984,99.0,0.0,3.0,0.0
29,W2057059783,1995.0,0.15701842128024998,70.0,0.0,3.0,0.0
30,W189460586,1995.0,0.14970182433424,4.0,0.0,2.0,0.0
31,W50317260,1995.0,0.0,0.0,0.0,3.0,0.0
32,W2620901352,1995.0,0.12961694215366087,2.0,0.0,3.0,0.0
33,W2620964507,1995.0,0.0984146228921025,1.0,0.0,3.0,0.0
34,W2620603809,1995.0,0.045182931190072904,0.0,0.0,4.0,0.0
35,W1898704883,1995.0,0.17140456990712252,3.0,0.0,4.0,0.0
36,W2101576084,1995.0,0.25732701253081,297.0,0.0,3.0,0.0
37,W2145829022,1995.0,0.10054790723041,5.0,0.0,4.0,0.0
38,W2146484795,1995.0,0.3058863695930025,2.0,0.0,4.0,0.0
39,W2161126187,1995.0,0.16523702245134492,1.0,0.0,3.0,0.0
40,W2757437538,1995.0,0.46950232896576,8.0,0.0,3.0,0.0
41,W2759845198,1995.0,0.36028403600322256,1.0,0.0,3.0,0.0
42,W2760038402,1995.0,0.347289811969,1.0,0.0,3.0,0.0
43,W2010419932,1995.0,0.0,101.0,0.0,3.0,0.0
44,W2014933665,1995.0,0.308173757956,157.0,0.0,3.0,0.0
45,W1665820094,1995.0,0.10691988997404492,13.0,0.0,2.0,0.0
46,W2066668705,1995.0,0.10265031598717439,182.0,0.0,3.0,0.0
47,W2315518753,1995.0,0.42458846351652085,6.0,0.0,3.0,0.0
48,W2140384587,1995.0,0.2454105981856356,704.0,0.0,4.0,0.0
49,W2137443825,1995.0,0.43175889681397694,25.0,0.0,3.0,0.0
50,W2083069513,1995.0,0.24038891245987842,72.0,0.0,3.0,0.0
51,W1508652239,1995.0,0.39439693690609,4.0,0.0,2.0,0.0
52,W2118246375,1995.0,0.2515356209168929,227.0,0.0,2.0,0.0
53,W1485090359,1995.0,0.26642737052596094,55.0,0.0,3.0,0.0
54,W2164254430,1995.0,0.39337544961225007,16.0,0.0,3.0,0.0
55,W2096638998,1995.0,0.618181200025,6.0,0.0,1.0,0.0
56,W1974227604,1995.0,0.66694645889041,23.0,0.0,2.0,0.0
57,W2162599370,1995.0,0.55367305328241,10.0,0.0,3.0,0.0
58,W2130127658,1995.0,0.7086675459571237,54.0,0.0,1.0,0.0
59,W2026781912,1995.0,0.12256860960400001,13.0,0.0,2.0,0.0
60,W1645403657,1995.0,0.5004652271883488,3.0,0.0,3.0,0.0
61,W2130757212,1995.0,0.012882649523097598,9.0,0.0,3.0,0.0
62,W1483856252,1995.0,0.4151081866632101,1.0,0.0,2.0,0.0
63,W2076529947,1995.0,0.0,2.0,0.0,2.0,0.0
64,W2085960053,1995.0,0.21651814228800997,0.0,0.0,2.0,0.0
65,W2013921651,1995.0,0.0,7.0,0.0,5.0,0.0
66,W1856157505,1995.0,0.19037813556696492,0.0,0.0,2.0,0.0
67,W2148861585,1995.0,0.0640571549535225,98.0,0.0,2.0,0.0
68,W2141832027,1995.0,0.11443329074401001,5.0,0.0,2.0,0.0
69,W2047108609,1995.0,0.030060312316810004,13.0,0.0,1.0,0.0
70,W2106642606,1995.0,0.1998059067719716,5.0,0.0,2.0,0.0
71,W2126838120,1995.0,0.0690367006826896,12.0,0.0,3.0,0.0
72,W2126034408,1995.0,0.09144170788488999,86.0,0.0,4.0,0.0
