,id,year,rel2,cited_by_cnt,in_repo,n_authors,n_author_is_inexact
0,W2073185090,1998.0,0.11402523630701292,1.0,0.0,3.0,0.0
1,W2042109701,1998.0,0.0677980881020356,0.0,0.0,2.0,0.0
2,W2128022374,1998.0,0.0647763785049616,4.0,0.0,2.0,0.0
3,W2035838143,1998.0,0.1900675913014564,47.0,0.0,1.0,0.0
4,W2619451714,1998.0,0.14955552952081,8.0,0.0,2.0,0.0
5,W2620164525,1998.0,0.1114254575724304,3.0,0.0,2.0,0.0
6,W2618664951,1998.0,0.0755147487122809,0.0,0.0,2.0,0.0
7,W2177108804,1998.0,0.0499688306056681,42.0,0.0,2.0,0.0
8,W2617598338,1998.0,0.0558393204819025,0.0,0.0,2.0,0.0
9,W2133175095,1998.0,0.27940583404756086,5.0,0.0,2.0,0.0
10,W1585309432,1998.0,0.29781599391504004,0.0,0.0,2.0,0.0
11,W2077300280,1998.0,0.06068048882281,16.0,0.0,1.0,0.0
12,W1994291466,1998.0,0.49054699256836,66.0,0.0,2.0,0.0
13,W2189030320,1998.0,0.63128618403904,11.0,0.0,3.0,0.0
14,W39660495,1998.0,0.2971784264077476,27.0,0.0,2.0,0.0
15,W2098336751,1998.0,0.5135407846297599,17.0,0.0,4.0,0.0
16,W3131679851,1998.0,0.1126352333135929,13.0,0.0,2.0,0.0
17,W2153417503,1998.0,0.24987317608838558,9.0,0.0,2.0,0.0
18,W253989914,1998.0,0.5495093815209999,5.0,0.0,3.0,0.0
19,W2098058532,1998.0,0.31386194427646896,24.0,0.0,4.0,0.0
20,W2031556972,1998.0,0.33279992607265957,12.0,0.0,2.0,0.0
21,W2124180845,1998.0,0.15060206591803238,36.0,0.0,3.0,0.0
22,W2071091006,1998.0,0.1927355048329104,54.0,0.0,3.0,0.0
23,W1602140934,1998.0,0.31938536713561,27.0,0.0,2.0,0.0
24,W2048152400,1998.0,0.6798822077700901,30.0,0.0,2.0,0.0
25,W2067792879,1998.0,0.68383290597561,8.0,0.0,2.0,0.0
26,W2091186798,1998.0,0.34526553364900003,13.0,0.0,3.0,0.0
27,W1971895941,1998.0,0.026095106984040002,20.0,0.0,4.0,0.0
28,W2618258285,1998.0,0.0,0.0,0.0,2.0,0.0
29,W2618151461,1998.0,0.2135354488330816,1.0,0.0,4.0,0.0
30,W2618307663,1998.0,0.10103612389924002,0.0,0.0,2.0,0.0
31,W2106295109,1998.0,0.06935453925625,16.0,0.0,3.0,0.0
32,W1878086482,1998.0,0.1538773690566436,4.0,0.0,4.0,0.0
33,W2782247091,1998.0,0.42873239590756007,0.0,0.0,1.0,0.0
34,W2115647012,1998.0,0.3971827313329225,7.0,0.0,2.0,0.0
35,W2110229127,1998.0,0.3683796838604099,4.0,0.0,2.0,0.0
36,W2103346049,1998.0,0.3511909263140497,2.0,0.0,3.0,0.0
37,W2105961697,1998.0,0.19944446805504362,0.0,0.0,2.0,0.0
38,W2123979237,1998.0,0.30377337726096,11.0,0.0,2.0,0.0
39,W1840362763,1998.0,0.1402740317580625,10.0,0.0,3.0,0.0
40,W2159972597,1998.0,0.43080648052224996,9.0,0.0,2.0,0.0
41,W2142091770,1998.0,0.29641926913600003,8.0,0.0,3.0,0.0
42,W1840231090,1998.0,0.5180365213360515,7.0,0.0,3.0,0.0
43,W2165716366,1998.0,0.25822137190471695,7.0,0.0,2.0,0.0
44,W1975908812,1998.0,0.2728467331581289,4.0,0.0,3.0,0.0
45,W1852557152,1998.0,0.30230071283344007,6.0,0.0,2.0,0.0
46,W2109865546,1998.0,0.33764048547856007,869.0,0.0,2.0,0.0
47,W2071306354,1998.0,0.30049210304656,23.0,0.0,3.0,0.0
48,W2106139625,1998.0,0.2924446956360336,19.0,0.0,3.0,0.0
49,W2146535404,1998.0,0.5591192949518401,6.0,0.0,2.0,0.0
50,W1995112186,1998.0,0.7559085249,2.0,0.0,2.0,0.0
51,W1962668092,1998.0,0.6367809380088025,1.0,0.0,2.0,0.0
52,W2151170200,1998.0,0.0662761362199104,154.0,0.0,2.0,0.0
53,W2157361621,1998.0,0.22016365465600002,23.0,0.0,2.0,0.0
54,W2099177213,1998.0,0.12250161000528999,89.0,0.0,2.0,0.0
55,W2102179694,1998.0,0.1286819252741169,77.0,0.0,2.0,0.0
56,W1887252814,1998.0,0.44284020581376,2.0,0.0,2.0,0.0
57,W2112339203,1998.0,0.32264263066896,39.0,0.0,2.0,0.0
58,W2294584261,1998.0,0.26634506904769,407.0,0.0,2.0,0.0
59,W2105899451,1998.0,0.16988460350436,0.0,0.0,3.0,0.0
60,W1957293771,1998.0,0.5878977416760099,3.0,0.0,2.0,0.0
61,W2542840621,1998.0,0.23960784166605162,4.0,0.0,4.0,0.0
62,W2543547681,1998.0,0.36823354650625006,2.0,0.0,4.0,0.0
63,W2097429585,1998.0,0.44912099319200993,0.0,0.0,3.0,0.0
64,W2320318045,1998.0,0.22247192856249,0.0,0.0,4.0,0.0
65,W2534163383,1998.0,0.3073719450088225,0.0,0.0,4.0,0.0
66,W2534448917,1998.0,0.1426055195817316,10.0,0.0,3.0,0.0
67,W2544231741,1998.0,0.40624399694765295,0.0,0.0,4.0,0.0
68,W2544884917,1998.0,0.3271181661120025,6.0,0.0,3.0,0.0
69,W2536045334,1998.0,0.29873297128609,5.0,0.0,3.0,0.0
70,W2539745829,1998.0,0.2339291430553284,3.0,0.0,3.0,0.0
71,W2541001915,1998.0,0.35996512884448356,1.0,0.0,4.0,0.0
72,W2008772536,1998.0,0.2405490301456804,468.0,1.0,1.0,0.0
73,W2107465718,1998.0,0.13480949835865688,15.0,0.0,1.0,0.0
74,W2076669453,1998.0,0.64487211734449,0.0,0.0,3.0,0.0
75,W2616966953,1998.0,0.0,0.0,0.0,1.0,0.0
76,W2060551502,1998.0,0.6817269196363536,3.0,0.0,2.0,0.0
77,W1534618516,1998.0,0.57555027769009,0.0,0.0,2.0,0.0
78,W2134655091,1998.0,0.62640307480969,5.0,0.0,3.0,0.0
79,W2131074519,1998.0,0.611634939551065,2.0,0.0,3.0,0.0
80,W1582823543,1998.0,0.2820521800702225,190.0,0.0,3.0,0.0
81,W1759458553,1998.0,0.6798347969889026,14.0,0.0,3.0,0.0
